"SD_DEPT_ID"	"SYS_CREATE_DATE"	"SYS_CREATE_BY"	"SYS_ENABLE_FLAG"	"SYS_KEYWORDS"	"SYS_SORT_NUM"	"SYS_UPDATE_DATE"	"SYS_UPDATE_BY"	"SD_BUSINESS_RELATED_FLAG"	"SD_DEPT_CODE"	"SD_DEPT_NAME"	"SD_DESCRIPTION"	"SD_LEADER_NAME_TO_POST"	"SD_LEADER_NAME_TO_USER"	"SD_PARENT_DEPT_NAME"	"SD_PARENT_LEADER_NAME_TO_POST"	"SD_PARENT_LEADER_NAME_TO_USER"	"SD_PORTAL_NAME"	"SD_PORTAL_URL"	"SD_PARENT_DEPT_ID"	"SD_LEADER_ID_TO_POST"	"SD_PARENT_LEADER_ID_TO_POST"	"SD_LEADER_ID_TO_USER"	"SD_PARENT_LEADER_ID_TO_USER"	"OA_DEPT_ID"
"4028809b3c6fbaa7013c6fbc3961007b"		""		""	136		""		"020510"	"西安南2"	""	""	""	"羊市街区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610075"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961007c"		""	0	""	133	28-1月 -13	""	0	"020505"	"实业11212"	""	""	""	"羊市街区"	""	""	""	""	""	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961007d"		""		""	128		""		"020501"	"长富新城1"	""	""	""	"羊市街区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610075"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961007e"		""		""	135		""		"020509"	"西安南1"	""	""	""	"羊市街区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610075"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961007f"		""		""	5473		""		"020507"	"实业3"	""	""	""	"羊市街区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610075"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610080"		""		""	5517		""		"020516"	"泡小1"	""	""	""	"羊市街区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610075"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610081"		""		""	375		""		"06"	"【西南区】"	""	""	""	"成都伊诚"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39510002"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610082"		""		""	2		""		"0613"	"高升桥区"	""	""	""	"【西南区】"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610081"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610083"		""		""	13		""		"061322"	"永丰3"	""	""	""	"高升桥区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610082"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610084"		""		""	9		""		"061312"	"罗浮3"	""	""	""	"高升桥区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610082"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610085"		""		""	10		""		"061302"	"国际花园2"	""	""	""	"高升桥区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610082"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610086"		""	0	""	4	25-1月 -13	""	0	"010102"	"长益2"	""	""	""	"高升桥区"	""	""	""	""	""	""	""	""	""	
